frame,time_seconds,phase
0,-0.5000,preroll
1,-0.4667,preroll
2,-0.4333,preroll
3,-0.4000,preroll
4,-0.3667,preroll
5,-0.3333,preroll
6,-0.3000,preroll
7,-0.2667,preroll
8,-0.2333,preroll
9,-0.2000,preroll
10,-0.1667,preroll
11,-0.1333,preroll
12,-0.1000,preroll
13,-0.0667,preroll
14,-0.0333,preroll
15,0.0000,live
16,0.0333,live
17,0.0667,live
18,0.1000,live
19,0.1333,live
20,0.1667,live
21,0.2000,live
22,0.2333,live
23,0.2667,live
24,0.3000,live
25,0.3333,live
26,0.3667,live
27,0.4000,live
28,0.4333,live
29,0.4667,live
30,0.5000,live
31,0.5333,live
32,0.5667,live
33,0.6000,live
34,0.6333,live
35,0.6667,live
36,0.7000,live
37,0.7333,live
38,0.7667,live
39,0.8000,live
40,0.8333,live
41,0.8667,live
42,0.9000,live
43,0.9333,live
44,0.9667,live
45,1.0000,live
46,1.0333,live
47,1.0667,live
48,1.1000,live
49,1.1333,live
50,1.1667,live
51,1.2000,live
52,1.2333,live
53,1.2667,live
54,1.3000,live
55,1.3333,live
56,1.3667,live
57,1.4000,live
58,1.4333,live
59,1.4667,live
60,1.5000,live
61,1.5333,live
62,1.5667,live
63,1.6000,live
64,1.6333,live
65,1.6667,live
66,1.7000,live
67,1.7333,live
68,1.7667,live
69,1.8000,live
70,1.8333,live
71,1.8667,live
72,1.9000,live
73,1.9333,live
74,1.9667,live
75,2.0000,live
76,2.0333,live
77,2.0667,live
78,2.1000,live
79,2.1333,live
80,2.1667,live
81,2.2000,live
82,2.2333,live
83,2.2667,live
84,2.3000,live
85,2.3333,live
86,2.3667,live
87,2.4000,live
88,2.4333,live
89,2.4667,live
90,2.5000,live
91,2.5333,live
92,2.5667,live
93,2.6000,live
94,2.6333,live
95,2.6667,live
96,2.7000,live
97,2.7333,live
98,2.7667,live
99,2.8000,live
100,2.8333,live
101,2.8667,live
102,2.9000,live
103,2.9333,live
104,2.9667,live
105,3.0000,live
