frame,time_seconds,phase
0,-0.4000,preroll
1,-0.3667,preroll
2,-0.3333,preroll
3,-0.3000,preroll
4,-0.2667,preroll
5,-0.2333,preroll
6,-0.2000,preroll
7,-0.1667,preroll
8,-0.1333,preroll
9,-0.1000,preroll
10,-0.0667,preroll
11,-0.0333,preroll
12,0.0000,live
13,0.0333,live
14,0.0667,live
15,0.1000,live
16,0.1333,live
17,0.1667,live
18,0.2000,live
19,0.2333,live
20,0.2667,live
21,0.3000,live
22,0.3333,live
23,0.3667,live
24,0.4000,live
25,0.4333,live
26,0.4667,live
27,0.5000,live
28,0.5333,live
29,0.5667,live
30,0.6000,live
31,0.6333,live
32,0.6667,live
33,0.7000,live
34,0.7333,live
35,0.7667,live
36,0.8000,live
37,0.8333,live
38,0.8667,live
39,0.9000,live
40,0.9333,live
41,0.9667,live
42,1.0000,live
43,1.0333,live
44,1.0667,live
45,1.1000,live
46,1.1333,live
47,1.1667,live
48,1.2000,live
49,1.2333,live
50,1.2667,live
51,1.3000,live
52,1.3333,live
53,1.3667,live
54,1.4000,live
